name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
Biryani Zone,No,No,3.5/5,1494,Sarjapur Road,Fine Dining,"Ice Cream, Desserts",800,Dine-out,JP Nagar
Dhaba Corner House,No,No,4.0/5,3022,Electronic City,Delivery,"Biryani, North Indian",800,Dine-out,JP Nagar
Pizza Hut,No,Yes,2.6/5,4876,Sarjapur Road,"Casual Dining, Cafe","Continental, North Indian",800,Lunch,JP Nagar
Satkar,No,No,3.9/5,5902,JP Nagar  ,Desserts,"Italian, Pizza",1500,Cafes,HSR Layout
Hotel Wrap It Up,Yes,No,,5203,BTM Layout  ,Casual Dining,"Biryani, North Indian",800,Drinks & nightlife,Marathahalli
Donne Biryani,No,Yes,3.2/5,5844,Marathahalli,Mess,"Continental, North Indian",,Lunch,BTM Layout
Rolls Mania,Yes,No,4.6/5,6477,Vijayanagar,Beverage Shop,"Seafood, Continental",800,Delivery,JP Nagar
Biryani Hotel Pai Vista,Yes,Yes,2.9/5,4569,Frazer Town,Quick Bites,"Seafood, Continental",500,Desserts,BTM Layout
Corner Satkar,Yes,No,3.8/5,629,Yelahanka,Food Court,"Sandwich, Fast Food","2,000",Cafes,Marathahalli
Meghana Foods,Yes,Yes,4.1/5,2752,Basavanagudi  ,Bar,"Mughlai, North Indian",250,Delivery,HSR Layout
Dhaba Truffles,Yes,No,2.7/5,6295,Bellandur,Desserts,"Italian, Pizza",700,Desserts,Indiranagar
Dragon Palace,Yes,,4.4/5,6936,Vijayanagar  ,Bakery,North Indian,500,Dine-out,Koramangala
Rolls Mania,No,Yes,4.4/5,4969,MG Road,Quick Bites,South Indian,350,Lunch,Electronic City
Empire Restaurant,No,No,3.8/5,2466,Electronic City,Fine Dining,"North Indian, Chinese",200,Drinks & nightlife,Jayanagar
The Udupi Palace,Yes,Yes,3.2/5,5299,MG Road,Bakery,"Pizza, Fast Food",350,Desserts,Indiranagar
Dhaba Box8,Yes,No,4.2/5,3702,Church Street,Bakery,"North Indian, Chinese",1500,Desserts,Electronic City
Box8,No,Yes,2.8/5,4361,Frazer Town,"Pub, Bar","North Indian, Chinese","2,000",Dine-out,Jayanagar
House Wrap It Up,No,No,-,7112,Basavanagudi,Beverage Shop,"Sandwich, Fast Food",250,Cafes,Whitefield
Palace Dominos,Yes,No,2.6/5,825,Rajajinagar,Fine Dining,,600,Lunch,HSR Layout
Donne Biryani,Yes,No,2.5/5,7541,Banashankari  ,Cafe,"Continental, North Indian",1200,Desserts,Koramangala
Hotel Pai Vista,Yes,,NEW,2046,Frazer Town,"Pub, Bar",Chinese,1500,Delivery,Indiranagar
Toit Brewpub,No,Yes,3.9/5,3273,Basavanagudi,Fine Dining,"Continental, North Indian",600,Lunch,JP Nagar
McDonald's,No,Yes,3.9/5,4665,Jayanagar  ,Desserts,"Continental, North Indian",600,Lunch,Koramangala
Punjabi Tadka,Yes,Yes,4.3/5,5383,BTM Layout,,Street Food,1000,Drinks & nightlife,Koramangala
Cafe Brahmin Coffee Bar,Yes,No,,1601,MG Road,Desserts,Street Food,1500,Dine-out,Electronic City
Dominos,No,Yes,-,1689,RT Nagar,Delivery,Fast Food,"1,200",Desserts,Whitefield
Freshmenu,Yes,No,3.6/5,1441,BTM Layout,Desserts,"North Indian, Chinese",300,Delivery,Whitefield
Freshmenu,No,Yes,3.8/5,5757,Hebbal,Fine Dining,,600,Buffet,Koramangala
Chai Point,No,Yes,4.3/5,2396,Indiranagar  ,Food Court,,250,Buffet,Marathahalli
Box8,Yes,Yes,2.7/5,7446,Indiranagar,Beverage Shop,"Cafe, Beverages",450,Desserts,HSR Layout
Amul,Yes,No,3.5/5,6656,Sarjapur Road,Quick Bites,"Biryani, North Indian",900,Cafes,JP Nagar
Shivaji Military Hotel,No,No,2.8/5,3681,Indiranagar,Bakery,"North Indian, Chinese",400,Drinks & nightlife,Whitefield
MTR,No,Yes,4.9/5,5901,Bellandur  ,Bakery,"Continental, North Indian",250,Buffet,Electronic City
Dragon Palace,No,No,4.2/5,5506,HSR Layout,"Pub, Bar","South Indian, North Indian",300,Desserts,HSR Layout
Vidyarthi Bhavan,No,No,3.0/5,4752,Basavanagudi,Cafe,"Bakery, Cafe",350,Lunch,Jayanagar
Vasudev Adiga,Yes,Yes,2.6/5,778,Richmond Town,"Casual Dining, Cafe","Continental, North Indian",500,Lunch,Banashankari
House Natural Ice Cream,No,Yes,,703,Rajajinagar,"Casual Dining, Cafe","Cafe, Beverages",600,Cafes,BTM Layout
Vasudev Adiga,No,No,4.6/5,7311,Richmond Town  ,Food Court,"Sandwich, Fast Food",,Drinks & nightlife,Marathahalli
Satkar,No,No,3.8/5,3902,Banashankari,Quick Bites,"Biryani, North Indian",2000,Drinks & nightlife,Jayanagar
McDonald's,No,No,3.1/5,2113,Whitefield,,"Cafe, Beverages",1500,Lunch,HSR Layout
Faasos,Yes,No,NEW,66,Electronic City  ,Bar,Fast Food,200,Lunch,Banashankari
Dhaba The Burger Lab,Yes,Yes,3.5/5,5907,Majestic,Bar,"North Indian, Chinese",,Delivery,Jayanagar
Satkar,Yes,No,3.7/5,661,Rajajinagar,,"South Indian, North Indian",1000,Cafes,Koramangala
Udupi Palace,No,No,3.5/5,1327,Bellandur  ,Desserts,South Indian,400,Drinks & nightlife,HSR Layout
Vidyarthi Bhavan,Yes,Yes,NEW,2774,Whitefield  ,Mess,Fast Food,400,Dine-out,HSR Layout
Meghana Foods,Yes,No,2.5/5,4130,Church Street,"Casual Dining, Cafe",Fast Food,400,Delivery,Marathahalli
The Vasudev Adiga,No,Yes,2.9/5,1016,Jayanagar,Bar,South Indian,300,Desserts,Electronic City
The Burger Lab,No,No,4.6/5,3351,Whitefield,"Casual Dining, Cafe",,250,Desserts,Electronic City
Shivaji Military Hotel,No,Yes,4.4/5,634,Hebbal,Fine Dining,South Indian,1500,Cafes,Whitefield
New Taj Mahal Cafe,No,,2.6/5,6598,Electronic City,Bar,"North Indian, Chinese",1200,Dine-out,JP Nagar
Satkar,Yes,Yes,4.6/5,2639,HSR Layout  ,Casual Dining,Fast Food,400,Desserts,Marathahalli
Wrap It Up,No,No,3.2/5,556,Basavanagudi,Desserts,Street Food,300,Cafes,Indiranagar
Cafe Freshmenu,No,Yes,3.9/5,4437,Majestic  ,Sweet Shop,"Seafood, Continental",700,Cafes,Electronic City
KFC,Yes,,4.8/5,5043,RT Nagar  ,Casual Dining,Biryani,450,Dine-out,Banashankari
Vasudev Adiga,No,No,NEW,987,BTM Layout,"Casual Dining, Cafe","South Indian, Chinese",900,Delivery,BTM Layout
Empire Restaurant,Yes,No,3.7/5,7941,Jayanagar,Delivery,,2500,Lunch,Jayanagar
Corner House,No,No,3.8/5,3633,Richmond Town,"Pub, Bar","North Indian, Chinese",350,Buffet,Indiranagar
Udupi Palace,No,Yes,3.8/5,6385,Sarjapur Road,Bar,"Italian, Pizza",,Cafes,BTM Layout
Eat Street,No,Yes,-,2636,BTM Layout,Casual Dining,"Continental, North Indian",2000,Desserts,Whitefield
Shivaji Military Hotel,Yes,No,4.2/5,3854,Hebbal,"Pub, Bar",Fast Food,1500,Desserts,Indiranagar
Faasos,Yes,No,4.5/5,6881,Majestic,Beverage Shop,"South Indian, Chinese",700,Dine-out,Whitefield
Biryani Zone,Yes,Yes,2.8/5,5243,Richmond Town,Cafe,"Mughlai, North Indian",2000,Delivery,HSR Layout
Hotel Pai Vista,Yes,No,4.3/5,7867,Banashankari,Beverage Shop,"North Indian, Chinese",800,Lunch,Whitefield
Cafe Wrap It Up,No,No,4.2/5,769,JP Nagar,Bar,"Ice Cream, Desserts",400,Buffet,Banashankari
Kitchen Punjabi Tadka,Yes,No,4.0/5,6804,HSR Layout,Cafe,"South Indian, Chinese",1000,Lunch,Jayanagar
Shivaji Military Hotel,Yes,,4.5/5,405,Richmond Town,Mess,"South Indian, Chinese",250,Drinks & nightlife,Koramangala
India Gate,Yes,,2.8/5,4399,Indiranagar,Delivery,"Seafood, Continental",500,Lunch,Whitefield
Restaurant KFC,Yes,No,4.8/5,2946,Frazer Town,Fine Dining,Street Food,200,Desserts,BTM Layout
Spice Garden,Yes,Yes,4.2/5,10,HSR Layout  ,Sweet Shop,"Biryani, North Indian",2000,Delivery,Banashankari
House Hotel Pai Vista,Yes,No,2.9/5,4683,Malleshwaram,Delivery,"Ice Cream, Desserts",150,Delivery,BTM Layout
Hotel Pai Vista,No,Yes,2.6/5,7179,Majestic  ,"Pub, Bar",North Indian,300,Cafes,Jayanagar
Amul,Yes,Yes,NEW,936,Indiranagar  ,Food Court,"Desserts, Bakery",1200,Desserts,Marathahalli
Dominos,No,Yes,3.5/5,1462,Marathahalli,Bakery,"South Indian, Chinese",250,Delivery,BTM Layout
Starbucks,No,No,4.5/5,3174,Yelahanka  ,Desserts,"Bakery, Cafe",350,Delivery,Electronic City
Dhaba Box8,No,No,4.5/5,5947,Basavanagudi,Casual Dining,,300,Drinks & nightlife,HSR Layout
Barbeque Nation,No,Yes,3.4/5,213,Basavanagudi,"Pub, Bar","Bakery, Cafe",1200,Dine-out,Whitefield
Truffles,Yes,Yes,4.0/5,4445,Malleshwaram,"Casual Dining, Cafe","Italian, Pizza",350,Dine-out,Indiranagar
Kamat Upachar,No,No,3.4/5,3865,Hebbal,Bakery,Fast Food,2000,Cafes,HSR Layout
Vidyarthi Bhavan,No,,4.6/5,4225,Church Street,Mess,"Desserts, Bakery",1200,Cafes,JP Nagar
Kitchen Tasty Bites,No,Yes,4.6/5,2831,Jayanagar,,Chinese,2500,Delivery,Jayanagar
Biryani Donne Biryani,No,Yes,3.1/5,7935,Yelahanka  ,"Pub, Bar",Street Food,250,Delivery,HSR Layout
Rolls Mania,No,,3.5/5,4197,BTM Layout,Fine Dining,"Continental, North Indian",250,Drinks & nightlife,Jayanagar
Vidyarthi Bhavan,Yes,No,4.6/5,7428,Majestic  ,Beverage Shop,"North Indian, Chinese",700,Dine-out,Electronic City
House Faasos,Yes,No,4.0/5,9,JP Nagar  ,Bar,"Continental, North Indian",900,Delivery,Banashankari
Donne Biryani,No,Yes,4.0/5,5568,Koramangala,Bakery,"Biryani, North Indian",,Delivery,BTM Layout
Biryani Truffles,No,No,4.4/5,7491,Koramangala,Mess,Fast Food,2000,Delivery,BTM Layout
Hotel MTR,No,No,4.2/5,4473,HSR Layout,Fine Dining,Biryani,1000,Drinks & nightlife,Koramangala
The Burger Lab,No,No,2.8/5,3239,Vijayanagar,Bar,South Indian,900,Cafes,Jayanagar
Kitchen Cafe Coffee Day,No,No,NEW,520,RT Nagar,"Casual Dining, Cafe","Continental, North Indian",800,Lunch,Banashankari
Brahmin Coffee Bar,Yes,No,3.4/5,4616,Koramangala,Beverage Shop,"Italian, Pizza",2000,Dine-out,BTM Layout
Faasos,No,,4.6/5,7486,Whitefield,Mess,Chinese,2500,Cafes,Jayanagar
Biryani Shivaji Military Hotel,No,Yes,NEW,1475,MG Road  ,Cafe,"Pizza, Fast Food",700,Delivery,HSR Layout
Freshmenu,No,No,3.4/5,1050,Jayanagar,Quick Bites,"Bakery, Cafe",,Desserts,JP Nagar
India Gate,No,No,3.9/5,3719,Whitefield,Beverage Shop,Biryani,350,Lunch,Jayanagar
Dominos,No,No,4.0/5,4543,Frazer Town,Cafe,"Italian, Pizza",200,Dine-out,JP Nagar
New Taj Mahal Cafe,Yes,No,4.0/5,3192,Yelahanka,,North Indian,"1,200",Drinks & nightlife,JP Nagar
New Taj Mahal Cafe,Yes,,,5387,Jayanagar  ,Sweet Shop,"North Indian, Chinese","2,000",Buffet,HSR Layout
Shivaji Military Hotel,Yes,Yes,4.2/5,791,HSR Layout,Delivery,Biryani,900,Buffet,Marathahalli
Corner House,Yes,No,2.6/5,2265,Yelahanka,,"South Indian, Chinese",2500,Buffet,BTM Layout
Subway,No,,4.7/5,7102,Marathahalli,Sweet Shop,"North Indian, Chinese",400,Delivery,Whitefield
MTR,Yes,No,3.2/5,4065,Domlur,Cafe,"Biryani, North Indian",1500,Desserts,HSR Layout
Udupi Palace,No,Yes,3.3/5,7232,Domlur,"Casual Dining, Cafe","North Indian, Chinese",350,Buffet,Indiranagar
Cafe Pizza Hut,Yes,No,2.7/5,6549,RT Nagar,"Pub, Bar","North Indian, Chinese","1,500",Dine-out,Indiranagar
Brahmin Coffee Bar,No,No,3.1/5,906,Bellandur,Mess,"Sandwich, Fast Food",450,Lunch,HSR Layout
Chai Point,Yes,Yes,4.5/5,2376,Rajajinagar,Delivery,Chinese,450,Dine-out,BTM Layout
New Taj Mahal Cafe,Yes,Yes,3.8/5,294,Electronic City  ,Fine Dining,"Ice Cream, Desserts",2000,Delivery,JP Nagar
Dominos,Yes,No,3.2/5,2632,Indiranagar,Desserts,,2500,Dine-out,Banashankari
Biryani Zone,No,No,2.8/5,5805,Jayanagar,"Casual Dining, Cafe",North Indian,400,Buffet,Whitefield
Shivaji Military Hotel,No,No,4.0/5,3999,Sarjapur Road,Quick Bites,"South Indian, North Indian",150,Desserts,Koramangala
Dhaba Hotel Pai Vista,Yes,No,4.8/5,7312,Hebbal,"Pub, Bar","Cafe, Beverages",900,Cafes,HSR Layout
The Haveli,No,No,3.3/5,575,Whitefield  ,Bakery,Fast Food,1000,Cafes,Electronic City
House Kanti Sweets,Yes,No,,13,Malleshwaram,Fine Dining,"Sandwich, Fast Food",800,Dine-out,HSR Layout
Tasty Bites,No,,4.1/5,1523,RT Nagar,"Pub, Bar","South Indian, Chinese",250,Drinks & nightlife,Koramangala
Rolls Mania,Yes,Yes,3.3/5,5289,Jayanagar,Mess,"Ice Cream, Desserts",500,Delivery,Koramangala
Cafe Kamat Upachar,Yes,Yes,4.0/5,1418,Majestic,Food Court,"Seafood, Continental",900,Cafes,BTM Layout
Shivaji Military Hotel,Yes,No,3.8/5,593,Yelahanka  ,Mess,,400,Drinks & nightlife,Marathahalli
New Taj Mahal Cafe,No,No,3.9/5,591,JP Nagar,Mess,"Cafe, Beverages","1,000",Dine-out,Jayanagar
Dominos,No,,3.6/5,7285,JP Nagar,Sweet Shop,"North Indian, Chinese",500,Buffet,Marathahalli
Satkar,Yes,Yes,4.7/5,7978,Vijayanagar,Fine Dining,"Biryani, North Indian",600,Desserts,Banashankari
Biryani KFC,Yes,Yes,2.7/5,3610,Hebbal,Desserts,"Pizza, Fast Food",900,Buffet,Marathahalli
The Burger Lab,No,No,4.0/5,5183,RT Nagar,Mess,"South Indian, North Indian",1000,Buffet,Koramangala
Cafe Box8,No,No,3.2/5,983,Marathahalli,Bar,"Mughlai, North Indian",300,Desserts,Whitefield
Udupi Palace,Yes,Yes,4.7/5,6292,JP Nagar,Fine Dining,"North Indian, Chinese",,Desserts,JP Nagar
Dominos,Yes,No,2.6/5,3883,Hebbal,Cafe,"South Indian, Chinese",250,Lunch,Banashankari
McDonald's,No,Yes,2.9/5,6944,Basavanagudi,Cafe,"Continental, North Indian",200,Drinks & nightlife,Jayanagar
Punjabi Tadka,Yes,No,3.4/5,7022,JP Nagar,Delivery,"Pizza, Fast Food",900,Dine-out,Indiranagar
Cafe Barbeque Nation,Yes,Yes,4.5/5,2556,Banashankari,Bakery,Chinese,,Lunch,HSR Layout
Box8,Yes,Yes,3.4/5,4135,Marathahalli,Beverage Shop,North Indian,800,Lunch,Marathahalli
Chinese Hut,Yes,Yes,4.0/5,4826,Rajajinagar,Food Court,Biryani,2500,Lunch,Koramangala
Dominos,Yes,,-,5979,Whitefield,Quick Bites,"Sandwich, Fast Food",600,Lunch,JP Nagar
Biryani Brahmin Coffee Bar,Yes,Yes,4.0/5,1547,Frazer Town,Delivery,"Desserts, Bakery",700,Dine-out,Koramangala
The Burger Lab,No,,3.4/5,4770,Marathahalli,Bakery,,500,Cafes,Jayanagar
Haveli,Yes,Yes,3.2/5,5424,Bellandur,Bar,"Cafe, Beverages",1200,Lunch,Whitefield
House Freshmenu,No,No,4.3/5,3083,Banashankari  ,Mess,,600,Lunch,Jayanagar
The Burger Lab,Yes,Yes,3.0/5,2162,MG Road  ,Cafe,"Continental, North Indian",900,Delivery,Electronic City
Rolls Mania,No,No,2.7/5,2745,Majestic,Bakery,North Indian,"2,500",Delivery,Banashankari
MTR,No,Yes,3.1/5,7644,Rajajinagar,Cafe,"Pizza, Fast Food",1200,Drinks & nightlife,Indiranagar
Corner House,No,Yes,3.9/5,4954,JP Nagar,"Pub, Bar","North Indian, Chinese",2000,Cafes,JP Nagar
Dhaba Amul,Yes,No,3.4/5,2108,Banashankari,Sweet Shop,Biryani,300,Cafes,Koramangala
Dominos,No,No,4.8/5,5205,Frazer Town,Casual Dining,"North Indian, Chinese",150,Delivery,Whitefield
The Beijing Bites,Yes,,4.8/5,4337,Majestic,Desserts,"Continental, North Indian",500,Cafes,Jayanagar
KFC,No,No,4.7/5,6368,Koramangala,Delivery,Street Food,"2,000",Delivery,Jayanagar
Toit Brewpub,Yes,Yes,,35,MG Road,Food Court,South Indian,350,Desserts,Electronic City
Shivaji Military Hotel,No,No,3.6/5,6284,Electronic City,Desserts,North Indian,600,Lunch,Jayanagar
Kamat Upachar,Yes,Yes,3.1/5,6506,Electronic City,Bar,"Ice Cream, Desserts",600,Desserts,BTM Layout
MTR,No,Yes,4.7/5,7388,Rajajinagar,,"Italian, Pizza","2,000",Desserts,BTM Layout
House Punjab Grill,No,No,4.7/5,1324,Majestic,Delivery,"Italian, Pizza",,Delivery,Marathahalli
Palace Cafe Coffee Day,No,Yes,2.8/5,6980,Whitefield,,"Bakery, Cafe",1000,Lunch,Whitefield
MTR,No,Yes,4.8/5,4795,JP Nagar,Cafe,"Italian, Pizza",500,Desserts,Indiranagar
Box8,No,Yes,3.8/5,140,Church Street,Sweet Shop,"South Indian, North Indian",900,Dine-out,Indiranagar
Rolls Mania,No,Yes,4.3/5,20,Electronic City,Food Court,"Biryani, North Indian",150,Drinks & nightlife,Whitefield
Cafe Srinidhi,No,Yes,2.9/5,4889,Vijayanagar,"Casual Dining, Cafe","Seafood, Continental",300,Buffet,Banashankari
Dhaba Vasudev Adiga,Yes,No,4.6/5,1389,MG Road,Bar,"Cafe, Beverages",,Cafes,JP Nagar
Empire Restaurant,Yes,No,4.0/5,2979,RT Nagar,Beverage Shop,Street Food,1200,Desserts,Whitefield
Starbucks,Yes,Yes,2.8/5,2169,Hebbal,Mess,"South Indian, Chinese",,Drinks & nightlife,HSR Layout
Starbucks,Yes,Yes,3.3/5,4494,Vijayanagar,Quick Bites,"South Indian, North Indian",350,Drinks & nightlife,Electronic City
Kitchen McDonald's,Yes,Yes,3.6/5,4703,Banashankari  ,Desserts,"Continental, North Indian",450,Lunch,Electronic City
Hotel Pai Vista,Yes,No,3.3/5,5895,Banashankari,Desserts,"Bakery, Cafe",2500,Desserts,Electronic City
Dragon Palace,No,Yes,3.4/5,6638,Vijayanagar  ,,"Biryani, North Indian",200,Drinks & nightlife,HSR Layout
Udupi Palace,No,No,3.9/5,5451,Sarjapur Road,Fine Dining,"Biryani, North Indian",200,Buffet,Electronic City
Satkar,No,No,2.9/5,5921,JP Nagar,Fine Dining,"Desserts, Bakery",1500,Buffet,HSR Layout
MTR,No,No,3.5/5,6542,Vijayanagar,Delivery,"South Indian, Chinese",300,Lunch,JP Nagar
Starbucks,No,Yes,4.4/5,1290,Marathahalli,"Pub, Bar",South Indian,600,Desserts,Whitefield
Palace Vidyarthi Bhavan,No,Yes,,963,Whitefield,Bakery,"Biryani, North Indian",1200,Cafes,Whitefield
House Cafe Coffee Day,Yes,No,3.9/5,4400,Vijayanagar,Bar,"Continental, North Indian",350,Lunch,Electronic City
Hotel Pai Vista,Yes,Yes,4.8/5,6540,JP Nagar,Fine Dining,Biryani,600,Drinks & nightlife,Jayanagar
Hotel Freshmenu,Yes,No,2.5/5,7443,Majestic,"Pub, Bar","Ice Cream, Desserts",900,Drinks & nightlife,BTM Layout
Palace The Burger Lab,No,Yes,3.6/5,6471,Banashankari,Cafe,"South Indian, North Indian",2000,Desserts,Banashankari
Corner House,No,Yes,4.5/5,5346,Yelahanka  ,Sweet Shop,"North Indian, Chinese",900,Lunch,Electronic City
Dominos,No,No,3.5/5,6496,Frazer Town,Bar,"North Indian, Chinese",600,Lunch,HSR Layout
MTR,No,Yes,3.5/5,1993,Rajajinagar,Desserts,Chinese,300,Cafes,JP Nagar
Freshmenu,Yes,No,4.6/5,158,Frazer Town,"Pub, Bar","South Indian, Chinese",150,Drinks & nightlife,BTM Layout
Kitchen Kanti Sweets,Yes,,3.7/5,3225,BTM Layout,,"Cafe, Beverages",,Cafes,Whitefield
Kitchen Faasos,Yes,,4.0/5,5252,Indiranagar,"Casual Dining, Cafe",Chinese,,Desserts,HSR Layout
Subway,Yes,No,4.4/5,2830,Hebbal,"Casual Dining, Cafe",Chinese,700,Desserts,Banashankari
Vidyarthi Bhavan,Yes,Yes,4.3/5,3986,Domlur,Desserts,South Indian,150,Desserts,Whitefield
India Gate,Yes,No,2.6/5,6570,Jayanagar,Delivery,Chinese,350,Drinks & nightlife,Koramangala
House Vasudev Adiga,No,No,2.8/5,3568,Rajajinagar,Casual Dining,North Indian,150,Desserts,Electronic City
Restaurant Wrap It Up,Yes,No,3.8/5,2938,Malleshwaram,"Casual Dining, Cafe",Chinese,450,Dine-out,HSR Layout
Brahmin Coffee Bar,No,No,4.2/5,6099,Sarjapur Road  ,Cafe,"Seafood, Continental",200,Drinks & nightlife,Banashankari
Empire Restaurant,Yes,Yes,3.5/5,7810,Basavanagudi  ,Mess,"Ice Cream, Desserts",350,Dine-out,Banashankari
Hotel Barbeque Nation,Yes,No,3.2/5,5631,Richmond Town,Fine Dining,South Indian,2000,Delivery,JP Nagar
Srinidhi,No,No,4.1/5,1546,Bellandur,Desserts,"South Indian, North Indian",700,Lunch,Electronic City
Chinese Hut,Yes,Yes,3.2/5,6089,Marathahalli,Delivery,"Ice Cream, Desserts",500,Delivery,Jayanagar
Starbucks,No,No,4.5/5,4476,Koramangala,Cafe,"Biryani, North Indian",300,Delivery,Banashankari
Biryani Satkar,No,Yes,4.2/5,5355,Bellandur,Bar,,,Desserts,BTM Layout
Vasudev Adiga,Yes,Yes,3.1/5,2601,MG Road,Bakery,"Seafood, Continental",1500,Lunch,Indiranagar
Belgian Waffle,Yes,Yes,4.3/5,2938,Jayanagar,Bar,"South Indian, Chinese",900,Cafes,Koramangala
Palace Beijing Bites,No,Yes,3.4/5,7424,JP Nagar,Bar,"Italian, Pizza",250,Drinks & nightlife,JP Nagar
Corner House,No,No,2.5/5,273,Domlur,Bakery,"North Indian, Chinese",800,Buffet,Electronic City
Corner House,Yes,,4.7/5,3097,Indiranagar,Mess,"Bakery, Cafe",450,Drinks & nightlife,Marathahalli
Dragon Palace,Yes,No,3.3/5,1316,RT Nagar,Sweet Shop,South Indian,200,Lunch,Electronic City
Meghana Foods,Yes,Yes,3.0/5,7320,Frazer Town,"Casual Dining, Cafe",Fast Food,,Buffet,Whitefield
Corner Pizza Hut,No,,4.3/5,7473,Vijayanagar  ,Fine Dining,,400,Buffet,Whitefield
Kanti Sweets,Yes,No,2.7/5,5582,Vijayanagar,Food Court,"Continental, North Indian",500,Cafes,Whitefield
Corner House,Yes,Yes,3.6/5,4702,Frazer Town,Bakery,South Indian,600,Lunch,Whitefield
Barbeque Nation,Yes,Yes,4.9/5,1574,Frazer Town,Food Court,"Biryani, North Indian",300,Delivery,Electronic City
The Burger Lab,No,No,4.7/5,7314,Church Street,,"Pizza, Fast Food",600,Dine-out,Electronic City
Hotel Beijing Bites,Yes,,3.3/5,7725,Whitefield,Mess,Chinese,2000,Cafes,Indiranagar
Kitchen Amul,No,No,4.7/5,4255,HSR Layout,Casual Dining,"Continental, North Indian",700,Dine-out,Indiranagar
Kamat Upachar,Yes,No,2.5/5,7175,Marathahalli,Beverage Shop,Fast Food,250,Lunch,Whitefield
New Taj Mahal Cafe,No,No,4.6/5,482,Hebbal,Fine Dining,"Desserts, Bakery",450,Delivery,Whitefield
The India Gate,No,No,2.6/5,4585,RT Nagar,Sweet Shop,Chinese,2000,Buffet,Whitefield
Corner The Burger Lab,Yes,Yes,4.8/5,116,Majestic,Delivery,"Desserts, Bakery",400,Lunch,Indiranagar
Palace Haveli,Yes,Yes,3.8/5,7621,Whitefield,"Pub, Bar","North Indian, Chinese",2000,Delivery,Indiranagar
Shivaji Military Hotel,No,No,NEW,427,Koramangala,Cafe,"Sandwich, Fast Food",2500,Cafes,HSR Layout
Spice Garden,Yes,Yes,4.2/5,5626,Yelahanka,Quick Bites,Chinese,200,Drinks & nightlife,HSR Layout
The Dominos,No,Yes,4.1/5,7214,Frazer Town,"Pub, Bar","Cafe, Beverages",800,Buffet,Electronic City
House Punjabi Tadka,Yes,No,NEW,363,JP Nagar,Fine Dining,"South Indian, Chinese",2500,Desserts,JP Nagar
Meghana Foods,Yes,Yes,3.8/5,692,RT Nagar  ,Beverage Shop,"Pizza, Fast Food",250,Dine-out,Banashankari
Biryani Starbucks,No,No,3.8/5,269,Koramangala,Fine Dining,"Ice Cream, Desserts",800,Delivery,BTM Layout
Faasos,No,Yes,4.3/5,6082,Koramangala,Delivery,"Biryani, North Indian",900,Cafes,BTM Layout
The Burger Lab,Yes,Yes,NEW,7816,Banashankari,"Pub, Bar",South Indian,250,Desserts,BTM Layout
Freshmenu,Yes,Yes,3.6/5,6570,Basavanagudi,Beverage Shop,"Bakery, Cafe",450,Lunch,Koramangala
Restaurant Natural Ice Cream,No,,3.0/5,7274,Domlur,"Pub, Bar","Desserts, Bakery",800,Delivery,Jayanagar
Hotel Pai Vista,No,Yes,3.1/5,891,Indiranagar,,"Sandwich, Fast Food",1200,Delivery,BTM Layout
Donne Biryani,Yes,No,2.9/5,4016,Bellandur  ,Desserts,"North Indian, Chinese",2000,Cafes,Whitefield
Chai Point,No,No,2.5/5,649,Domlur,Sweet Shop,"Italian, Pizza",,Dine-out,Indiranagar
House Punjabi Tadka,No,Yes,4.2/5,7822,JP Nagar  ,Food Court,Biryani,2000,Desserts,BTM Layout
New Taj Mahal Cafe,No,Yes,4.7/5,1681,Electronic City  ,Bar,South Indian,2000,Lunch,HSR Layout
Corner Beijing Bites,No,Yes,4.0/5,3356,Indiranagar,,"South Indian, Chinese",2500,Desserts,Banashankari
Kanti Sweets,No,No,3.2/5,7561,Majestic,Bar,"South Indian, Chinese",150,Dine-out,Banashankari
Cafe Barbeque Nation,No,Yes,3.9/5,21,MG Road,"Casual Dining, Cafe","South Indian, North Indian",1000,Drinks & nightlife,Electronic City
Srinidhi,No,No,4.0/5,3762,Majestic,Fine Dining,Biryani,900,Buffet,Whitefield
Vidyarthi Bhavan,No,,3.6/5,6573,Sarjapur Road,"Casual Dining, Cafe",Fast Food,250,Dine-out,BTM Layout
Biryani Punjabi Tadka,Yes,Yes,4.2/5,4265,Sarjapur Road,Cafe,Fast Food,150,Buffet,Indiranagar
MTR,No,No,4.4/5,6980,Rajajinagar  ,Bakery,"Ice Cream, Desserts",200,Buffet,Indiranagar
Biryani Hotel Pai Vista,Yes,Yes,,7848,Rajajinagar,Cafe,"Ice Cream, Desserts",700,Lunch,Indiranagar
Cafe Coffee Day,Yes,No,4.5/5,6714,Electronic City,Casual Dining,"Seafood, Continental",450,Drinks & nightlife,Electronic City
Kanti Sweets,No,Yes,4.0/5,4688,Bellandur,,South Indian,350,Dine-out,Koramangala
Dragon Palace,No,No,2.8/5,6557,Church Street,Sweet Shop,"Mughlai, North Indian",150,Delivery,Banashankari
Satkar,No,No,3.9/5,1004,Malleshwaram,Fine Dining,"Sandwich, Fast Food",400,Drinks & nightlife,Banashankari
Dominos,No,No,2.9/5,3117,Frazer Town  ,Quick Bites,"Ice Cream, Desserts",1500,Buffet,Koramangala
